id,star,current,officer_id,created_at,updated_at
923,2676,false,702,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
924,20,true,702,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
925,16951,false,702,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
927,225,false,702,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
928,943,false,702,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
935,11724,false,709,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
936,20929,true,709,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
937,11107,false,709,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
939,20929,false,711,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
940,11107,false,711,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
943,17144,false,713,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
944,9082,false,713,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
948,778,false,719,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
949,2718,false,719,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
950,285,false,719,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
951,256,false,719,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
952,624,false,719,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
977,13917,true,739,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
978,18345,false,739,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
979,18505,false,740,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
981,40021,false,740,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
982,12550,false,742,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
983,6917,false,742,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
985,1231,true,745,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
